sample_id,cluster_label
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,0
9,0
10,0
11,1
12,1
13,0
14,1
15,1
16,0
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,1
26,1
27,0
28,1
29,0
30,1
31,1
32,0
33,0
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,0
42,1
43,0
44,0
45,1
46,1
47,1
48,1
49,0
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,1
67,1
68,0
69,0
70,1
71,1
72,1
73,0
74,0
75,1
76,1
77,1
78,0
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,0
88,1
89,0
90,1
91,1
92,1
93,0
94,0
95,1
96,1
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,1
106,1
107,1
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,0
121,1
122,1
123,0
124,1
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,0
161,1
162,0
163,0
164,0
165,1
166,1
167,0
168,0
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,1
190,0
191,1
192,0
193,1
194,0
195,0
196,0
197,1
198,0
199,1
200,1
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,0
209,1
210,1
211,1
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,0
223,0
224,0
225,0
226,1
227,1
228,1
229,0
230,1
231,0
232,1
233,1
234,1
235,1
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,1
244,1
245,0
246,1
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,1
255,1
256,1
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,0
265,1
266,1
267,0
268,0
269,0
270,0
271,1
272,1
273,0
274,0
275,0
276,0
277,1
278,1
